GLOBAL RANK,FULL NAME,NET WORTH (BILLIONS),AGE,SOURCE OF INCOME,COUNTRY OF RESIDENCE
1,Bernard Arnault & family,$176.06,73,LVMH,France
2,Elon Musk,$146.05,51,"Tesla, SpaceX",United States
3,Gautam Adani,$116.07,60,"infrastructure, commodities",India
4,Jeff Bezos,$108.05,58,Amazon,United States
5,Warren Buffett,$106.03,92,Berkshire Hathaway,United States
6,Bill Gates,$103.05,67,Microsoft,United States
7,Larry Ellison,$101.04,78,Oracle,United States
8,Mukesh Ambani,$87.09,65,diversified,India
9,Carlos Slim Helu & family,$83.06,82,telecom,Mexico
10,Steve Ballmer,$78.02,66,Microsoft,United States
11,Larry Page,$78.02,49,Google,United States
12,Michael Bloomberg,$76.08,80,Bloomberg LP,United States
13,Sergey Brin,$75.00,49,Google,United States
14,Francoise Bettencourt Meyers & family,$71.04,69,L'Oréal,France
15,Zhong Shanshan,$67.08,68,"beverages, pharmaceuticals",China
16,Amancio Ortega,$64.00,86,Zara,Spain
17,Jim Walton,$61.05,74,Walmart,United States
18,Rob Walton,$60.02,78,Walmart,United States
19,Alice Walton,$59.03,73,Walmart,United States
20,Julia Koch & family,$58.02,60,Koch Industries,United States
20,Charles Koch,$58.02,87,Koch Industries,United States
22,David Thomson & family,$52.03,65,media,Canada
23,Michael Dell,$51.06,57,Dell Technologies,United States
24,Zhang Yiming,$49.05,38,TikTok,China
25,Phil Knight & family,$44.08,84,Nike,United States
26,Mark Zuckerberg,$43.00,38,Facebook,United States
27,Rodolphe Saadé & family,$41.04,52,shipping,France
28,Jacqueline Mars,$39.00,83,"candy, pet food",United States
29,John Mars,$39.00,87,"candy, pet food",United States
30,Giovanni Ferrero,$35.00,58,"Nutella, chocolates",Italy
31,Ma Huateng,$35.00,51,internet media,China
32,Beate Heister & Karl Albrecht Jr. & family,$35.00,72,supermarkets,Germany
33,François Pinault & family,$33.07,86,luxury goods,France
34,Len Blavatnik,$33.07,65,"music, chemicals",United States
35,Dieter Schwarz,$33.06,83,retail,Germany
36,Li Ka-shing,$33.06,94,diversified,Hong Kong
37,Gerard Wertheimer,$32.08,71,Chanel,France
37,Alain Wertheimer,$32.08,74,Chanel,France
39,Robin Zeng,$32.07,53,batteries,Hong Kong
